Taxa,Year,Location,Plant_height,Plant height collected in 2015 was new data in present study
PR1314_3357,2015,Manhattan,143.333333333333,
PR1314_3358,2015,Manhattan,100,
PR1314_3359,2015,Manhattan,157.333333333333,
PR1314_3360,2015,Manhattan,124,
PR1314_3363,2015,Manhattan,174.666666666667,
PR1314_3387,2015,Manhattan,144.666666666667,
PR1314_3391,2015,Manhattan,120,
PR1314_3392,2015,Manhattan,170.666666666667,
PR1314_3393,2015,Manhattan,169.333333333333,
PR1314_3394,2015,Manhattan,140,
PR1314_3395,2015,Manhattan,170,
PR1314_3396,2015,Manhattan,191.333333333333,
PR1314_3399,2015,Manhattan,137.333333333333,
PR1314_3414,2015,Manhattan,104.666666666667,
PR1314_3421,2015,Manhattan,137.333333333333,
PR1314_3483,2015,Manhattan,115.333333333333,
PR1314_3492,2015,Manhattan,192,
PR1314_3493,2015,Manhattan,100.666666666667,
PR1314_3494,2015,Manhattan,114.666666666667,
PR1314_1003,2015,Manhattan,166,
PR1314_1005,2015,Manhattan,86,
PR1314_1006,2015,Manhattan,171.333333333333,
PR1314_1008,2015,Manhattan,178,
PR1314_1009,2015,Manhattan,131.333333333333,
PR1314_1011,2015,Manhattan,124,
PR1314_1012,2015,Manhattan,140,
PR1314_1016,2015,Manhattan,116,
PR1314_1017,2015,Manhattan,118,
PR1314_1018,2015,Manhattan,246.666666666667,
PR1314_1019,2015,Manhattan,197.333333333333,
PR1314_1020,2015,Manhattan,158,
PR1314_1021,2015,Manhattan,194,
PR1314_1022,2015,Manhattan,90.6666666666667,
PR1314_1023,2015,Manhattan,101.333333333333,
PR1314_1024,2015,Manhattan,150.666666666667,
PR1314_1025,2015,Manhattan,171.333333333333,
PR1314_1026,2015,Manhattan,148.666666666667,
PR1314_1027,2015,Manhattan,87.3333333333333,
PR1314_1028,2015,Manhattan,215.333333333333,
PR1314_1029,2015,Manhattan,132.666666666667,
PR1314_1030,2015,Manhattan,127.333333333333,
PR1314_1031,2015,Manhattan,108.666666666667,
PR1314_1032,2015,Manhattan,167.333333333333,
PR1314_1033,2015,Manhattan,239.333333333333,
PR1314_1034,2015,Manhattan,77.3333333333333,
PR1314_1035,2015,Manhattan,124.666666666667,
PR1314_1039,2015,Manhattan,158,
PR1314_1040,2015,Manhattan,126,
PR1314_1041,2015,Manhattan,131.333333333333,
PR1314_1042,2015,Manhattan,162.666666666667,
PR1314_1043,2015,Manhattan,95.3333333333333,
PR1314_1044,2015,Manhattan,173.333333333333,
PR1314_1045,2015,Manhattan,145.333333333333,
PR1314_1046,2015,Manhattan,169.333333333333,
PR1314_1047,2015,Manhattan,140,
PR1314_1048,2015,Manhattan,148,
PR1314_1049,2015,Manhattan,150.666666666667,
PR1314_1050,2015,Manhattan,127.333333333333,
PR1314_1051,2015,Manhattan,122,
PR1314_1052,2015,Manhattan,163.333333333333,
PR1314_1053,2015,Manhattan,112,
PR1314_1054,2015,Manhattan,114,
PR1314_1055,2015,Manhattan,76,
PR1314_1057,2015,Manhattan,128.666666666667,
PR1314_1058,2015,Manhattan,164.666666666667,
PR1314_1059,2015,Manhattan,187.333333333333,
PR1314_1060,2015,Manhattan,162,
