Plot_ID	Pedigree	LIB	Family
PR1314_1201	Tx430/P898012	PR1314_1201:MERGE	P898012_RIL
PR1314_1202	Tx430/P898012	PR1314_1202:581	P898012_RIL
PR1314_1203	Tx430/P898012	PR1314_1203:582	P898012_RIL
PR1314_1204	Tx430/P898012	PR1314_1204:583	P898012_RIL
PR1314_1205	Tx430/P898012	PR1314_1205:584	P898012_RIL
PR1314_1206	Tx430/P898012	PR1314_1206:585	P898012_RIL
PR1314_1207	Tx430/P898012	PR1314_1207:MERGE	P898012_RIL
PR1314_1208	Tx430/P898012	PR1314_1208:MERGE	P898012_RIL
PR1314_1209	Tx430/P898012	PR1314_1209:MERGE	P898012_RIL
PR1314_1210	Tx430/P898012	PR1314_1210:589	P898012_RIL
PR1314_1211	Tx430/P898012	PR1314_1211:590	P898012_RIL
PR1314_1213	Tx430/P898012	PR1314_1213:591	P898012_RIL
PR1314_1214	Tx430/P898012	PR1314_1214:MERGE	P898012_RIL
PR1314_1215	Tx430/P898012	PR1314_1215:593	P898012_RIL
PR1314_1216	Tx430/P898012	PR1314_1216:594	P898012_RIL
PR1314_1217	Tx430/P898012	PR1314_1217:595	P898012_RIL
PR1314_1218	Tx430/P898012	PR1314_1218:MERGE	P898012_RIL
PR1314_1219	Tx430/P898012	PR1314_1219:597	P898012_RIL
PR1314_1220	Tx430/P898012	PR1314_1220:598	P898012_RIL
PR1314_1221	Tx430/P898012	PR1314_1221:MERGE	P898012_RIL
PR1314_1222	Tx430/P898012	PR1314_1222:MERGE	P898012_RIL
PR1314_1223	Tx430/P898012	PR1314_1223:MERGE	P898012_RIL
PR1314_1224	Tx430/P898012	PR1314_1224:MERGE	P898012_RIL
PR1314_1225	Tx430/P898012	PR1314_1225:MERGE	P898012_RIL
PR1314_1226	Tx430/P898012	PR1314_1226:MERGE	P898012_RIL
PR1314_1227	Tx430/P898012	PR1314_1227:MERGE	P898012_RIL
PR1314_1228	Tx430/P898012	PR1314_1228:MERGE	P898012_RIL
PR1314_1229	Tx430/P898012	PR1314_1229:607	P898012_RIL
PR1314_1230	Tx430/P898012	PR1314_1230:608	P898012_RIL
PR1314_1231	Tx430/P898012	PR1314_1231:MERGE	P898012_RIL
PR1314_1232	Tx430/P898012	PR1314_1232:MERGE	P898012_RIL
PR1314_1233	Tx430/P898012	PR1314_1233:611	P898012_RIL
PR1314_1234	Tx430/P898012	PR1314_1234:612	P898012_RIL
PR1314_1235	Tx430/P898012	PR1314_1235:MERGE	P898012_RIL
PR1314_1236	Tx430/P898012	PR1314_1236:MERGE	P898012_RIL
PR1314_1237	Tx430/P898012	PR1314_1237:MERGE	P898012_RIL
PR1314_1238	Tx430/P898012	PR1314_1238:616	P898012_RIL
PR1314_1239	Tx430/P898012	PR1314_1239:MERGE	P898012_RIL
PR1314_1240	Tx430/P898012	PR1314_1240:618	P898012_RIL
PR1314_1242	Tx430/P898012	PR1314_1242:MERGE	P898012_RIL
PR1314_1243	Tx430/P898012	PR1314_1243:MERGE	P898012_RIL
PR1314_1244	Tx430/P898012	PR1314_1244:621	P898012_RIL
PR1314_1245	Tx430/P898012	PR1314_1245:MERGE	P898012_RIL
PR1314_1246	Tx430/P898012	PR1314_1246:MERGE	P898012_RIL
PR1314_1247	Tx430/P898012	PR1314_1247:MERGE	P898012_RIL
PR1314_1248	Tx430/P898012	PR1314_1248:MERGE	P898012_RIL
PR1314_1249	Tx430/P898012	PR1314_1249:MERGE	P898012_RIL
PR1314_1250	Tx430/P898012	PR1314_1250:627	P898012_RIL
PR1314_1251	Tx430/SC971	PR1314_1251:628	SC971_RIL
PR1314_1252	Tx430/SC971	PR1314_1252:629	SC971_RIL
PR1314_1253	Tx430/SC971	PR1314_1253:630	SC971_RIL
PR1314_1254	Tx430/SC971	PR1314_1254:631	SC971_RIL
PR1314_1256	Tx430/SC971	PR1314_1256:632	SC971_RIL
PR1314_1257	Tx430/SC971	PR1314_1257:633	SC971_RIL
PR1314_1258	Tx430/SC971	PR1314_1258:634	SC971_RIL
PR1314_1259	Tx430/SC971	PR1314_1259:MERGE	SC971_RIL
PR1314_1260	Tx430/SC971	PR1314_1260:636	SC971_RIL
PR1314_1261	Tx430/SC971	PR1314_1261:637	SC971_RIL
PR1314_1262	Tx430/SC971	PR1314_1262:638	SC971_RIL
PR1314_1263	Tx430/SC971	PR1314_1263:639	SC971_RIL
PR1314_1264	Tx430/SC971	PR1314_1264:640	SC971_RIL
PR1314_1265	Tx430/SC971	PR1314_1265:641	SC971_RIL
PR1314_1266	Tx430/SC971	PR1314_1266:642	SC971_RIL
PR1314_1267	Tx430/SC971	PR1314_1267:643	SC971_RIL
PR1314_1268	Tx430/SC971	PR1314_1268:644	SC971_RIL
PR1314_1269	Tx430/SC971	PR1314_1269:645	SC971_RIL
PR1314_1270	Tx430/SC971	PR1314_1270:646	SC971_RIL
PR1314_1271	Tx430/SC971	PR1314_1271:647	SC971_RIL
PR1314_1272	Tx430/SC971	PR1314_1272:648	SC971_RIL
PR1314_1273	Tx430/SC971	PR1314_1273:649	SC971_RIL
PR1314_1274	Tx430/SC971	PR1314_1274:650	SC971_RIL
PR1314_1275	Tx430/SC971	PR1314_1275:651	SC971_RIL
PR1314_1276	Tx430/SC971	PR1314_1276:652	SC971_RIL
PR1314_1277	Tx430/SC971	PR1314_1277:653	SC971_RIL
